date,price
2024-01-01,150.0
2024-01-02,150.11323712306117
2024-01-03,151.4267888197493
2024-01-04,146.71178085577074
2024-01-05,150.90894844652397
2024-01-06,150.73964497699725
2024-01-07,153.85766472002757
2024-01-08,157.50068261512166
2024-01-09,157.67741195236684
2024-01-10,159.1549779998374
2024-01-11,163.895619067225
2024-01-12,163.22294200371442
2024-01-13,160.49335547439233
2024-01-14,160.88409220036831
2024-01-15,163.8599429118136
2024-01-16,166.503462316052
2024-01-17,163.58509306355865
2024-01-18,160.36675174407947
2024-01-19,164.52321085470115
2024-01-20,165.11277222720017
2024-01-21,164.69327277571705
2024-01-22,163.44779398645264
2024-01-23,165.05094477218563
2024-01-24,163.1803844312271
2024-01-25,162.19856886364053
2024-01-26,161.41209159031084
2024-01-27,159.8208356692211
2024-01-28,157.14855074344914
2024-01-29,160.282470291542
2024-01-30,157.44803505750758
2024-01-31,153.91692624020448
2024-02-01,152.99915708399018
2024-02-02,159.23289642763524
2024-02-03,158.75124283574544
2024-02-04,159.47831521113105
2024-02-05,162.2379164847802
2024-02-06,158.65870936247606
2024-02-07,160.11019853457637
2024-02-08,157.8598823356243
2024-02-09,154.9238801111873
2024-02-10,158.32016516640772
2024-02-11,162.34487690481433
2024-02-12,161.10709305724174
2024-02-13,163.2615595313802
2024-02-14,162.19796567755074
2024-02-15,159.05498620265962
2024-02-16,156.68734808830447
2024-02-17,162.67707172222006
2024-02-18,165.03240721532867
2024-02-19,165.50616900871714
2024-02-20,166.6786084458812
2024-02-21,164.45749358348567
2024-02-22,167.06710789195975
2024-02-23,166.26857936357507
2024-02-24,164.55845234290564
2024-02-25,164.18403854751617
2024-02-26,161.71874552220902
2024-02-27,165.91632131297433
2024-02-28,164.6425538274295
2024-02-29,164.98914286238917
2024-03-01,160.40462095267065
2024-03-02,161.17514884622284
2024-03-03,162.7348413160641
2024-03-04,163.61905914152538
2024-03-05,164.06482531950303
2024-03-06,163.65692229158125
2024-03-07,161.32991477494795
2024-03-08,158.39643335103693
2024-03-09,159.5785611498122
2024-03-10,157.94166523670617
2024-03-11,158.32302964804015
2024-03-12,158.9606703237134
2024-03-13,157.36018639635458
2024-03-14,157.3940494079504
2024-03-15,155.8179507617981
2024-03-16,155.3764857200316
2024-03-17,155.62761321281693
2024-03-18,158.25302035875075
2024-03-19,156.0143732852466
2024-03-20,154.98023932946504
2024-03-21,158.47009818208642
2024-03-22,158.62898746910466
2024-03-23,161.0786684362551
2024-03-24,158.54185782296733
2024-03-25,160.77359819661717
2024-03-26,162.09191988112252
2024-03-27,158.5444535969905
2024-03-28,158.10874000167945
2024-03-29,155.03474969680494
2024-03-30,154.84002561526546
2024-03-31,153.4209175347099
2024-04-01,156.242867135129
2024-04-02,159.54014238500613
2024-04-03,157.1829905215741
2024-04-04,155.99180112696914
2024-04-05,156.27232978366047
2024-04-06,152.73358189963966
2024-04-07,159.44103399748036
2024-04-08,160.13475128468647
2024-04-09,159.79129255521477
2024-04-10,161.79917573824886
2024-04-11,162.37202073639972
2024-04-12,159.70638544374242
2024-04-13,161.70744927347786
2024-04-14,161.3516115365706
2024-04-15,162.46383793029466
2024-04-16,159.709271431118
2024-04-17,159.88209563220147
2024-04-18,159.46518775518248
2024-04-19,162.31299973303433
2024-04-20,162.55094816362734
2024-04-21,161.28588409440425
2024-04-22,161.31452697811872
2024-04-23,164.8212693023425
2024-04-24,164.8422687526629
2024-04-25,166.1361284745936
2024-04-26,168.94418323975563
2024-04-27,169.5094611011355
2024-04-28,171.61844198321722
2024-04-29,168.94940925010698
2024-04-30,167.58813434981508
2024-05-01,166.91312472178114
2024-05-02,169.99797545736615
2024-05-03,168.8790967923649
2024-05-04,165.78297264903142
2024-05-05,166.1306072843052
2024-05-06,168.76686106526236
2024-05-07,169.42739981673506
2024-05-08,167.96361358023694
2024-05-09,166.3437992676762
2024-05-10,172.10525419710788
2024-05-11,169.8298343333448
2024-05-12,169.34469214861068
2024-05-13,165.7868580724467
2024-05-14,163.72596532843463
2024-05-15,165.93738609334486
2024-05-16,165.51512077871507
2024-05-17,167.78106425652186
2024-05-18,166.14425796911425
2024-05-19,166.23632952751245
2024-05-20,166.55902641478625
2024-05-21,167.85003021520293
2024-05-22,170.9627913091991
2024-05-23,168.3933375944773
2024-05-24,161.9246613700351
2024-05-25,162.60811149024266
2024-05-26,164.07407853940808
2024-05-27,169.88361288899367
2024-05-28,164.78090876010262
2024-05-29,164.73363388521156
2024-05-30,168.85098454014283
2024-05-31,168.45565786712675
2024-06-01,165.59527108238356
2024-06-02,166.14864738590225
2024-06-03,164.49491405735816
2024-06-04,165.61639803369036
2024-06-05,169.92275793056172
2024-06-06,169.49656197174247
2024-06-07,168.65166130129006
2024-06-08,165.32136187897947
2024-06-09,162.90355724246038
2024-06-10,163.28371073833995
2024-06-11,164.5309629016669
2024-06-12,162.3857630901545
2024-06-13,158.0380676254452
2024-06-14,158.66420920078775
2024-06-15,160.08347491271806
2024-06-16,160.1072053697518
2024-06-17,157.11893860185788
2024-06-18,157.22316896903658
2024-06-19,151.74336243790611
2024-06-20,150.0126714989913
2024-06-21,150.12421567470764
2024-06-22,148.96308036515723
2024-06-23,150.44057361883324
2024-06-24,151.07790232337547
2024-06-25,152.9359868363355
2024-06-26,150.72594246716764
2024-06-27,153.95174918100568
2024-06-28,154.5959083454067
2024-06-29,154.52752394361832
2024-06-30,155.5360780037738
2024-07-01,154.78112985042668
2024-07-02,153.53427453801083
2024-07-03,153.34401854588475
2024-07-04,154.6968154310923
2024-07-05,146.82344036891422
2024-07-06,146.98714459178106
2024-07-07,149.23852773149696
2024-07-08,152.39583824864323
2024-07-09,152.32591712802898
2024-07-10,150.939142533315
