timestamp,revenue
2025-09-01 00:00:35.926189008,28.55
2025-09-01 00:00:55.680906096,12.47
2025-09-01 00:01:15.924468066,2.79
2025-09-01 00:01:52.912396332,12.27
2025-09-01 00:02:05.539289142,25.12
2025-09-01 00:02:42.313226814,8.15
2025-09-01 00:03:11.092355472,10.61
2025-09-01 00:03:23.015799348,0.64
2025-09-01 00:03:27.781219134,26.08
2025-09-01 00:03:37.322702658,2.47
2025-09-01 00:03:53.501487432,16.62
2025-09-01 00:03:54.991912056,9.94
2025-09-01 00:03:56.874058752,16.57
2025-09-01 00:04:06.050862024,6.13
2025-09-01 00:04:08.497001010,3.31
2025-09-01 00:04:26.054938716,46.08
2025-09-01 00:04:36.169536906,19.16
2025-09-01 00:04:39.978932538,6.48
2025-09-01 00:04:48.593936664,10.89
2025-09-01 00:05:05.142145806,9.24
2025-09-01 00:05:17.572225446,9.44
2025-09-01 00:05:21.100393614,82.15
2025-09-01 00:05:21.164181288,13.92
2025-09-01 00:05:41.047468254,58.16
2025-09-01 00:05:45.261104298,0.58
2025-09-01 00:06:02.041374066,6.98
2025-09-01 00:06:08.231882814,0.23
2025-09-01 00:06:16.938108078,5.29
2025-09-01 00:06:41.721127752,18.81
2025-09-01 00:07:21.528012084,12.03
2025-09-01 00:08:02.650675440,9.5
2025-09-01 00:08:08.070429270,10.67
2025-09-01 00:08:18.606921012,36.87
2025-09-01 00:08:38.084765484,1.89
2025-09-01 00:09:05.336890338,15.98
2025-09-01 00:09:37.189390980,5.12
2025-09-01 00:10:24.256987494,15.03
2025-09-01 00:10:27.251503668,0.66
2025-09-01 00:10:53.822194620,23.52
2025-09-01 00:11:05.592621162,11.16
2025-09-01 00:11:23.336151300,3.56
2025-09-01 00:11:32.616640308,36.55
2025-09-01 00:11:53.857119402,10.26
2025-09-01 00:11:58.422500850,6.54
2025-09-01 00:12:17.029899906,45.99
2025-09-01 00:12:19.391280012,9.7
2025-09-01 00:12:26.783844672,39.57
2025-09-01 00:12:43.118591856,2.33
2025-09-01 00:12:49.150006290,5.42
2025-09-01 00:12:50.956485732,18.63
2025-09-01 00:13:25.485608388,48.9
2025-09-01 00:13:27.275157810,3.31
2025-09-01 00:13:51.926043684,4.47
2025-09-01 00:13:56.255933994,11.34
2025-09-01 00:14:04.862913786,57.59
2025-09-01 00:14:18.500396778,4.45
2025-09-01 00:14:22.770577398,20.84
2025-09-01 00:14:24.591759936,17.28
2025-09-01 00:14:41.131766250,0.05
2025-09-01 00:15:01.653955518,8.88
2025-09-01 00:15:37.173083214,66.25
2025-09-01 00:16:07.542133331,11.16
2025-09-01 00:17:17.031990209,5.67
2025-09-01 00:18:09.825535620,56.87
2025-09-01 00:18:13.866177654,32.88
2025-09-01 00:18:17.816303376,2.03
2025-09-01 00:18:36.664822848,47.61
2025-09-01 00:19:47.817939432,17.47
2025-09-01 00:21:07.990236372,12.17
2025-09-01 00:21:58.696872594,1.32
2025-09-01 00:23:30.218561801,12.05
2025-09-01 00:23:30.917077602,4.51
2025-09-01 00:23:31.990489362,8.0
2025-09-01 00:23:53.059971240,5.15
2025-09-01 00:24:29.796280548,41.32
2025-09-01 00:24:46.984241700,1.69
2025-09-01 00:25:07.142139354,3.22
2025-09-01 00:25:27.092781108,11.87
2025-09-01 00:25:39.661864626,0.91
2025-09-01 00:25:54.767499162,2.28
2025-09-01 00:27:11.606364534,14.21
2025-09-01 00:27:24.711732066,18.09
2025-09-01 00:27:38.260833618,11.87
2025-09-01 00:27:51.968198796,10.44
2025-09-01 00:29:27.130744074,0.87
2025-09-01 00:29:46.870190154,11.66
2025-09-01 00:29:53.006171358,5.16
2025-09-01 00:29:55.689373626,5.66
2025-09-01 00:30:01.947178212,60.25
2025-09-01 00:30:03.314173074,17.48
2025-09-01 00:30:22.381041972,9.15
2025-09-01 00:30:37.877806668,2.34
2025-09-01 00:30:52.222605390,19.59
2025-09-01 00:32:23.292559044,9.93
2025-09-01 00:32:31.820255915,25.17
2025-09-01 00:32:54.132340554,16.56
2025-09-01 00:33:13.485565422,15.29
2025-09-01 00:33:24.600332394,27.22
2025-09-01 00:33:28.117612590,19.31
2025-09-01 00:34:31.738017912,6.92
2025-09-01 00:36:06.033794316,3.76
2025-09-01 00:36:19.516508748,9.15
2025-09-01 00:36:46.908576402,15.05
2025-09-01 00:36:47.134491618,86.13
2025-09-01 00:37:29.788378908,20.97
2025-09-01 00:37:38.606190774,3.15
2025-09-01 00:37:46.347179802,47.77
2025-09-01 00:38:13.183254120,16.96
2025-09-01 00:39:21.670280262,4.08
2025-09-01 00:39:36.549481152,4.65
2025-09-01 00:39:46.532864052,12.91
2025-09-01 00:39:56.867629434,8.32
2025-09-01 00:40:10.551687774,2.42
2025-09-01 00:40:29.000349342,9.92
2025-09-01 00:40:35.287863630,4.62
2025-09-01 00:40:42.471248352,6.17
2025-09-01 00:42:12.503744094,9.94
2025-09-01 00:42:27.027623040,28.54
2025-09-01 00:43:29.475988818,32.64
2025-09-01 00:44:03.649716078,9.21
2025-09-01 00:44:07.461604530,3.99
2025-09-01 00:44:19.911752448,45.39
2025-09-01 00:45:12.022946832,7.94
2025-09-01 00:45:29.837187204,2.35
2025-09-01 00:45:34.484906478,17.87
2025-09-01 00:45:39.979356672,6.99
2025-09-01 00:46:08.900418942,2.16
2025-09-01 00:46:13.190020092,10.15
2025-09-01 00:46:37.509187362,4.1
2025-09-01 00:46:41.795645280,8.94
2025-09-01 00:46:42.487518576,18.18
2025-09-01 00:47:30.351319013,9.79
2025-09-01 00:48:03.773201040,18.58
2025-09-01 00:48:10.257550740,5.47
2025-09-01 00:49:06.826537458,2.34
2025-09-01 00:49:57.049236534,12.05
2025-09-01 00:50:01.071644412,0.35
2025-09-01 00:50:11.424668316,33.35
2025-09-01 00:50:52.391290254,3.15
2025-09-01 00:51:01.925120040,31.9
2025-09-01 00:51:07.601850017,2.2
2025-09-01 00:51:37.519958106,14.35
2025-09-01 00:51:46.317471708,5.12
2025-09-01 00:52:03.148608804,28.25
2025-09-01 00:52:06.519528972,0.53
2025-09-01 00:52:18.435600246,6.48
2025-09-01 00:53:17.234255652,4.51
2025-09-01 00:53:40.234447920,9.03
2025-09-01 00:54:15.369027828,23.41
2025-09-01 00:54:19.733484264,1.26
2025-09-01 00:54:42.541896984,3.99
2025-09-01 00:55:30.339425532,1.21
2025-09-01 00:55:55.367946678,30.94
2025-09-01 00:56:03.477448914,13.72
2025-09-01 00:56:08.481973560,2.14
2025-09-01 00:56:13.216272126,11.09
2025-09-01 00:56:26.281408842,0.45
2025-09-01 00:56:43.163857098,30.32
2025-09-01 00:56:49.301760174,16.29
2025-09-01 00:57:46.567562970,33.41
2025-09-01 00:58:46.792535280,0.71
2025-09-01 00:58:51.970326108,8.64
2025-09-01 00:58:52.620846552,3.71
2025-09-01 00:58:55.382380476,9.68
2025-09-01 00:59:24.008589186,19.54
2025-09-01 01:00:51.384061752,30.6
2025-09-01 01:01:31.768810374,9.69
2025-09-01 01:02:13.546922184,17.41
2025-09-01 01:02:25.763606238,1.02
2025-09-01 01:03:02.221026840,4.43
2025-09-01 01:03:19.027955946,22.1
2025-09-01 01:04:05.944915662,3.74
2025-09-01 01:05:18.324090318,13.83
2025-09-01 01:05:39.707808006,19.93
2025-09-01 01:05:53.578061052,25.06
2025-09-01 01:06:00.416577108,18.44
2025-09-01 01:07:01.033398642,46.6
2025-09-01 01:07:11.030014854,10.62
2025-09-01 01:07:18.052927974,9.28
2025-09-01 01:07:37.292206752,11.52
2025-09-01 01:07:37.890782064,20.66
2025-09-01 01:08:35.937829902,2.26
2025-09-01 01:08:37.237934694,16.32
2025-09-01 01:08:58.252140210,4.01
2025-09-01 01:09:06.804654036,8.76
2025-09-01 01:09:14.993530692,7.81
2025-09-01 01:09:36.169216224,24.84
2025-09-01 01:09:42.484045284,68.27
2025-09-01 01:09:49.987441638,8.72
2025-09-01 01:09:51.785861964,7.06
2025-09-01 01:10:32.151764238,2.34
2025-09-01 01:11:26.260294962,24.77
2025-09-01 01:12:00.869272110,1.07
2025-09-01 01:12:47.848602774,0.59
2025-09-01 01:13:48.226407762,9.31
2025-09-01 01:14:37.780033908,60.6
2025-09-01 01:15:58.550553696,30.55
2025-09-01 01:16:38.811238452,20.57
2025-09-01 01:16:54.186144654,5.68
2025-09-01 01:17:13.333050690,21.62
2025-09-01 01:17:19.540975368,107.95
2025-09-01 01:17:26.666334870,27.13
2025-09-01 01:17:36.960180270,5.58
2025-09-01 01:17:40.695668550,2.34
2025-09-01 01:17:45.877594278,0.61
2025-09-01 01:18:04.318821510,40.34
2025-09-01 01:18:37.050137862,26.11
2025-09-01 01:18:38.505210732,29.1
2025-09-01 01:18:54.106537410,6.74
2025-09-01 01:19:06.196984818,1.96
2025-09-01 01:19:07.281627306,4.08
2025-09-01 01:19:07.369211178,9.53
2025-09-01 01:19:27.109843848,24.78
2025-09-01 01:20:03.303980412,29.72
2025-09-01 01:20:38.165537796,40.94
2025-09-01 01:21:07.207737942,15.17
2025-09-01 01:21:31.516821108,4.14
2025-09-01 01:21:40.862995398,4.24
2025-09-01 01:22:25.734662238,26.16
2025-09-01 01:22:36.361712586,36.48
2025-09-01 01:22:42.633717810,0.28
2025-09-01 01:22:47.395587798,45.34
2025-09-01 01:23:49.709536884,12.34
2025-09-01 01:24:01.693358172,18.55
2025-09-01 01:24:05.386732668,8.15
2025-09-01 01:24:16.900822895,10.83
2025-09-01 01:24:53.121703860,35.31
2025-09-01 01:25:11.433475614,3.64
2025-09-01 01:25:22.854034212,5.97
2025-09-01 01:25:36.804853686,30.63
2025-09-01 01:27:06.464456334,20.07
2025-09-01 01:28:01.488739224,5.41
2025-09-01 01:28:42.627945852,36.58
2025-09-01 01:29:20.345990460,18.87
2025-09-01 01:30:19.544559444,13.84
2025-09-01 01:30:22.885989954,47.96
2025-09-01 01:30:32.362218048,7.84
2025-09-01 01:31:41.644654212,39.29
2025-09-01 01:31:56.484585198,6.58
2025-09-01 01:32:32.239300080,10.58
2025-09-01 01:32:40.692037032,1.35
2025-09-01 01:32:45.105926712,12.91
2025-09-01 01:33:18.808401774,17.33
2025-09-01 01:33:28.305200244,15.26
2025-09-01 01:34:08.350915308,11.83
2025-09-01 01:34:09.227686170,10.39
2025-09-01 01:35:01.818855720,2.88
2025-09-01 01:35:53.847861834,2.95
2025-09-01 01:36:31.968962508,28.27
2025-09-01 01:37:03.439628130,6.77
2025-09-01 01:37:44.000346534,1.45
2025-09-01 01:38:27.576705270,7.13
2025-09-01 01:39:07.465940514,2.7
2025-09-01 01:39:50.573792346,28.69
2025-09-01 01:40:09.847165428,22.23
2025-09-01 01:40:14.812874058,3.36
2025-09-01 01:40:23.306230536,4.64
2025-09-01 01:40:32.376342192,14.6
2025-09-01 01:41:10.280712546,14.32
2025-09-01 01:41:49.661771922,7.03
2025-09-01 01:41:51.845672334,62.78
2025-09-01 01:42:47.272040544,7.41
2025-09-01 01:42:50.031643560,13.38
2025-09-01 01:42:56.092246200,5.56
2025-09-01 01:44:35.441197758,19.96
2025-09-01 01:45:32.105349108,17.76
2025-09-01 01:45:37.235519040,7.45
2025-09-01 01:45:48.884189040,11.46
2025-09-01 01:46:08.690643030,8.77
2025-09-01 01:46:25.898101572,2.87
2025-09-01 01:46:33.324011586,1.27
2025-09-01 01:46:57.260253054,1.93
2025-09-01 01:47:01.997859384,7.54
2025-09-01 01:47:37.491589344,3.28
2025-09-01 01:47:41.026756188,14.69
2025-09-01 01:47:41.754847296,11.93
2025-09-01 01:47:58.687672956,5.19
2025-09-01 01:48:19.459591794,8.37
2025-09-01 01:48:24.977352240,33.86
2025-09-01 01:48:28.012782858,6.87
2025-09-01 01:49:10.784050104,6.67
2025-09-01 01:50:07.777611059,18.89
2025-09-01 01:50:12.415700754,15.64
2025-09-01 01:50:26.601401076,10.14
2025-09-01 01:51:48.835014492,24.09
2025-09-01 01:52:03.116835588,5.8
2025-09-01 01:52:10.472689668,19.7
2025-09-01 01:52:31.353511877,4.23
2025-09-01 01:53:12.858668742,17.52
2025-09-01 01:53:34.610542116,1.82
2025-09-01 01:53:58.981377180,18.98
2025-09-01 01:54:03.789885887,4.99
2025-09-01 01:54:20.671036656,4.17
2025-09-01 01:54:45.201367884,9.95
2025-09-01 01:54:54.946465254,31.27
2025-09-01 01:55:00.275774838,1.7
2025-09-01 01:55:15.284453046,46.7
2025-09-01 01:55:29.839638402,12.05
2025-09-01 01:55:31.032138960,5.83
2025-09-01 01:55:45.527528016,15.37
2025-09-01 01:56:11.775112464,26.84
2025-09-01 01:56:17.904914370,7.45
2025-09-01 01:56:24.970026066,8.07
2025-09-01 01:57:14.121508566,18.49
2025-09-01 01:57:43.232765190,20.59
2025-09-01 01:58:32.206930937,29.44
2025-09-01 01:59:18.681405690,4.34
2025-09-01 01:59:27.123955440,7.86
2025-09-01 02:00:34.989697692,3.59
2025-09-01 02:01:53.337763704,28.91
2025-09-01 02:02:32.087385731,7.87
2025-09-01 02:02:43.527822324,4.11
2025-09-01 02:02:52.619481360,8.74
2025-09-01 02:03:01.965863568,2.19
2025-09-01 02:03:17.558617092,3.8
2025-09-01 02:03:29.644885500,4.3
2025-09-01 02:04:16.147700316,24.39
2025-09-01 02:04:21.438456954,47.7
2025-09-01 02:04:25.292883168,84.6
2025-09-01 02:05:26.768857254,41.87
2025-09-01 02:05:52.671046338,23.53
2025-09-01 02:06:34.714900710,16.75
2025-09-01 02:06:39.878894292,10.6
2025-09-01 02:07:04.141836438,16.12
2025-09-01 02:07:27.987286260,3.2
2025-09-01 02:08:10.742650950,15.25
2025-09-01 02:08:14.338729338,27.12
2025-09-01 02:08:15.708585012,11.68
